source,target
PedullaGabriela,DCDM115
fabicoelhovet,PolticaDVerdade
AmandaArielArt1,Suzano_info
SergioAndreassa,DCDM115
ZadraDaniele,mara_selma
PedullaGabriela,linapaulaqueir1
denisanddi,linapaulaqueir1
Evandro_SI,Danicarlasou
denisanddi,joaovoltou
denisanddi,Danicarlasou
ALEGODOYBOTTINI,_Janoninho
Tatyana96116871,DCDM115
2Vsft,DCDM115
Evandro_SI,Wagner_R_O
PedullaGabriela,LeoniceMariana1
soobser_23,UdaJuris2022
PedullaGabriela,Danicarlasou
Antonio64592374,Danicarlasou
denisanddi,alexfmotta
soobser_23,Suzano_info
PedullaGabriela,UdaJuris2022
annasilva963,BrunoCalixto22
Direita_Network,UdaJuris2022
denisanddi,LeoniceMariana1
PedullaGabriela,ApenasTruthNews
Camilla36694011,Danicarlasou
denisanddi,John_N4varro
soobser_23,Danicarlasou
denisanddi,Pittyprovesi
ZadraDaniele,Danicarlasou
pinkylvtc,Suzano_info
2Vsft,John_N4varro
denisanddi,MrochaNysoft
pinkylvtc,DCDM115
LucyVinhais,Danicarlasou
Gilbert63577801,Suzano_info
jjunior19715870,Elainnefaria1
MarioOl52769551,_Janoninho
soobser_23,DCDM115
ElisBrando6,joaovoltou
CludiaMascaren6,Elainnefaria1
susana_schmoell,aro_marcia
CludiaMascaren6,BayerNany
AmandaArielArt1,linapaulaqueir1
amgelfer,_Janoninho
acaciaguerra_,Suzano_info
Camilla36694011,DCDM115
soobser_23,Elainnefaria1
Vanessa41504968,John_N4varro
patriaeordem,Danicarlasou
JosCarlosCustd3,Suzano_info
LeloCamargo1,aro_marcia
LeloCamargo1,Suzano_info
JosCarlosCustd3,DCDM115
ZadraDaniele,AlvesContabeis
jjunior19715870,DCDM115
Vanessa41504968,AlvesContabeis
AmandaArielArt1,mara_selma
ZadraDaniele,ApenasTruthNews
bozo_bot,marcosaraujjoo
pcemig78,aro_marcia
ZipZum,UdaJuris2022
Tatyana96116871,AlvesContabeis
xandaoloc,vanete_araujo
pcemig78,MrochaNysoft
JosCarlosCustd3,Elainnefaria1
ZadraDaniele,MarloneBHMG
GiselyFelipe1,_Janoninho
OpiniaoDireita,LeoniceMariana1
ElisBrando6,FelipZimmer
ZadraDaniele,Wallcostajf
RosaHVitor,_Janoninho
RosaHVitor,simonegmoreno
soobser_23,Brasil_shelby
OpiniaoDireita,Elainnefaria1
ElisBrando6,vanete_araujo
Dannisleyk1,Kaiqueporto32
ElisBrando6,Elainnefaria1
soobser_23,GraziHenriques
luizpon57226662,Danicarlasou
xandaoloc,Wagner_R_O
vaz_eunice,_Janoninho
EricMamae,John_N4varro
soobser_23,Rickys_Ricardo3
RosaHVitor,carloscdias
Yenor_lanoican,Danicarlasou
Yenor_lanoican,Suzano_info
Yenor_lanoican,Suzano_info
soobser_23,KaiolOof
Thah818223052,Danicarlasou
Yenor_lanoican,DCDM115
DelfinoHannah,BrunoCalixto22
SONIASOLANGE7,claryene
Patriot2022_,FelipZimmer
DelfinoHannah,UdaJuris2022
DelfinoHannah,Suzano_info
Anderso74644453,_Janoninho
Patriot2022_,UdaJuris2022
Vanessa41504968,MarloneBHMG
soobser_23,PolticaDVerdade
joao_marcos35,BrunoCalixto22
RonaldoJBBarros,_Janoninho
Dannisleyk1,vanete_araujo
RosaHVitor,Mu29964508Marta
Thah818223052,linapaulaqueir1
SONIASOLANGE7,Danicarlasou
RosaHVitor,jamlima77
fd2011_1,Suzano_info
sandraschulzcar,Danicarlasou
Camilla36694011,AlvesContabeis
gleicebrabo,Danicarlasou
Patriot2022_,linapaulaqueir1
todaspromocoes,marcosaraujjoo
joao_marcos35,joaovoltou
joao_marcos35,KaiolOof
joao_marcos35,BaraoFarias
josepasandoval,marcosaraujjoo
Crisrosac,BrunoCalixto22
Crisrosac,Danicarlasou
Renata20232024,Danicarlasou
soobser_23,ApenasTruthNews
Renata20232024,Suzano_info
AyltonBaptista,_Janoninho
fabimazzeron,Kaiqueporto32
CinthiaMagal,DCDM115
anapaulapetista,_Janoninho
Renata20232024,Kaiqueporto32
soobser_23,CRISTOLUZ1000
ElisBrando6,olordsnow
argentina_info2,Suzano_info
CinthiaMagal,Suzano_info
Drey__Silva,Danicarlasou
soobser_23,Douglasvet33
aline_fvieira,FelipZimmer
sandraschulzcar,MarloneBHMG
jchaves1111,DCDM115
Snia04163782,Suzano_info
gleicebrabo,claryene
jjunior19715870,Danicarlasou
sandraschulzcar,PovoEosupremoBr
Drey__Silva,UdaJuris2022
WritterAnaLuiza,Danicarlasou
Snia04163782,Elainnefaria1
sandraschulzcar,LeoewalF
Cassi44241258,Edu210670
jchaves1111,FelipZimmer
soobser_23,GgmAndrews
jchaves1111,Suzano_info
Cassi44241258,joaovoltou
soobser_23,Alex__Lemos
soobser_23,DoutorRedpill
Michele17287600,aro_marcia
jchaves1111,vanete_araujo
Snia04163782,linapaulaqueir1
susana_schmoell,linapaulaqueir1
Drey__Silva,John_N4varro
sandraschulzcar,CinthiaMagal
jchaves1111,UdaJuris2022
Snia04163782,FelipZimmer
pinkylvtc,John_N4varro
Rob__Rodrigues,Suzano_info
Camilla36694011,KaiolOof
jchaves1111,Douglasvet33
Snia04163782,Wallcostajf
Leandro97758105,Elainnefaria1
pinkylvtc,Elainnefaria1
StaMaira,CinthiaMagal
jchaves1111,AlvesContabeis
Anderso74644453,_Janoninho
Cassi44241258,MarloneBHMG
Camilla36694011,Wagner_R_O
MarciaF84658325,_Janoninho
pinkylvtc,Douglasvet33
Analu63605234,Kaiqueporto32
jchaves1111,joaovoltou
FlavioErich,Suzano_info
FlavioErich,UdaJuris2022
joaoalberico,Brasil_shelby
rudneygr,Suzano_info
Gustavo18476486,Suzano_info
LeandroTrajano8,LeoewalF
jchaves1111,LeoewalF
natanael14107,Suzano_info
RacylleThainna,Danicarlasou
LopesGyn2,FelipZimmer
todaspromocoes,marcosaraujjoo
RacylleThainna,BrunoCalixto22
RacylleThainna,Suzano_info
NatyeMew,Suzano_info
jchaves1111,psy_fps
jchaves1111,RozanaFranco
RacylleThainna,UdaJuris2022
LopesGyn2,Suzano_info
Raquel33547872,FelipZimmer
RacylleThainna,Suzano_info
ana_282828,LeoniceMariana1
saporito_andre,Suzano_info
OpiniaoDireita,Madrugae22
LeandroTrajano8,GgmAndrews
saporito_andre,UdaJuris2022
saporito_andre,John_N4varro
dornele6,Danicarlasou
jacquietequila,Pittyprovesi
ana_282828,GgmAndrews
AntoniaALacerda,FelipZimmer
Thah818223052,Karinegtoledo
bozo_bot,marcosaraujjoo
RacylleThainna,Wallcostajf
rochamikas44,Kaiqueporto32
VCris_RDE,BrunoCalixto22
jacquietequila,martinha17_
pinkylvtc,Karinegtoledo
dornele6,aro_marcia
gonzaga_marconi,_Janoninho
Fernand6795377,linapaulaqueir1
dornele6,CinthiaMagal
dornele6,KaiolOof
jacquietequila,Karinegtoledo
VCris_RDE,UdaJuris2022
rochamikas44,DCDM115
natanael14107,claryene
rochamikas44,Karinegtoledo
Fernand6795377,aro_marcia
Fernand6795377,Elainnefaria1
AntoniaALacerda,AlvesContabeis
Fernand6795377,joaovoltou
Andress01675173,Suzano_info
argentina_info2,aro_marcia
Fernand6795377,LeoniceMariana1
AntoniaALacerda,Douglasvet33
jacquietequila,CarolPollice
jacquietequila,leojardels
Fernand6795377,Wallcostajf
dornele6,Karinegtoledo
carrosstal,Danicarlasou
vagnerfurquim1,DCDM115
jrelisiar,vanete_araujo
Fernand6795377,John_N4varro
Marta_Haya,John_N4varro
xandaoloc,vanzuty
mukinha_samu3l,Danicarlasou
carrosstal,Suzano_info
LSerranegra,BrunoCalixto22
neide_vp,Suzano_info
SoniaAlvares8,Elainnefaria1
natanael14107,Karinegtoledo
Francis84008209,_Janoninho
jacquietequila,lugubremonotomo
carrosstal,vanete_araujo
neide_vp,CinthiaMagal
liberdadeaopovo,CinthiaMagal
NatyeMew,mmichelemartins
mukinha_samu3l,UdaJuris2022
Tatyana96116871,aro_marcia
liberdadeaopovo,Suzano_info
Mrcio64127330,Danicarlasou
Thah818223052,leojardels
Thah818223052,clecio_tavares
liberdadeaopovo,FelipZimmer
Fernand6795377,MarloneBHMG
AdrianiCaap,DCDM115
Mrcio64127330,aro_marcia
marianatatcher,Danicarlasou
Fernand6795377,alexfmotta
elibarbosa1212,_Janoninho
nanda_md2011,CinthiaMagal
Sandra72344197,Kaiqueporto32
Fernand6795377,claryene
AdrianiCaap,FelipZimmer
marianatatcher,Suzano_info
marianatatcher,UdaJuris2022
LeoSant87961116,vanzuty
Andress01675173,Wallcostajf
alexandrarubima,_Janoninho
JoelmaMaleoj,Danicarlasou
MarioOl52769551,_Janoninho
JoelmaMaleoj,Suzano_info
SchneiderKellyC,Kaiqueporto32
NatyeMew,John_N4varro
Diane64072478,KaiolOof
marianatatcher,linapaulaqueir1
dornele6,BaraoFarias
Diane64072478,Karinegtoledo
JoelmaMaleoj,Kaiqueporto32
sumidamancini,Danicarlasou
DonizetePitondo,Elainnefaria1
natanael14107,Rickys_Ricardo3
nanda_md2011,John_N4varro
Mrcio64127330,RozanaFranco
sumidamancini,UdaJuris2022
maranataoravemJ,BrunoCalixto22
marianatatcher,Elainnefaria1
Andra82467853,BrunoCalixto22
peleperfeita,Suzano_info
FelipeFrazaorj,John_N4varro
AstralSandro,_Janoninho
LianaBarbosaDe1,MarloneBHMG
JoseRod61803783,Danicarlasou
FlviaBe19788620,Danicarlasou
Moraes09095330,Suzano_info
pcemig78,LeoniceMariana1
Fernand6795377,psy_fps
Diane64072478,leojardels
FlviaBe19788620,Edu210670
Fernand6795377,BayerNany
sumidamancini,aro_marcia
almeida_welma,KaiolOof
Fernand6795377,Andrisa01
Fernand6795377,EndterPierre
elibarbosa1212,_Janoninho
almeida_welma,John_N4varro
EduardofmbMD,CinthiaMagal
Elisand70827695,UdaJuris2022
JoelmaMaleoj,AlvesContabeis
Elisand70827695,Luisoli21929060
EduardofmbMD,Suzano_info
cynthiafdlima69,CinthiaMagal
rluiz99,UdaJuris2022
Fernand6795377,CRISTOLUZ1000
RaquelA43433137,UdaJuris2022
JoseRod61803783,CinthiaMagal
Fernand6795377,GraziHenriques
RCLconservadora,Wallcostajf
Moraes09095330,Kaiqueporto32
joao_marcos35,FelipeFrazaorj
sb_mariiah,BrunoCalixto22
EduardofmbMD,Karinegtoledo
jjunior19715870,RozanaFranco
Elisand70827695,Douglasvet33
Elisand70827695,Wagner_R_O
pcemig78,Luisoli21929060
EduardofmbMD,Luisoli21929060
Tatyana96116871,martinha17_
CameriniDev,Danicarlasou
Umbemlegal,MarloneBHMG
libriana86,lidiacorrea20
RaphaelFrJesus,nayarathaf
nilo_casemiro,Suzano_info
cynthiafdlima69,Suzano_info
jjunior19715870,Suzano_info
Umbemlegal,Wallcostajf
LidiaConta,DCDM115
LidiaConta,Suzano_info
nilo_casemiro,UdaJuris2022
nilo_casemiro,CinthiaMagal
sahesilva19,_Janoninho
LidiaConta,Wallcostajf
CPavanJau,Wallcostajf
sahesilva19,RonaldoJBBarros
nilo_casemiro,Karinegtoledo
nilo_casemiro,Wallcostajf
MarciaF84658325,buarqueana13
cynthiafdlima69,vanete_araujo
jcsobralchagas,Suzano_info
CameriniDev,Suzano_info
LSenun2,Wallcostajf
AstralColina,CinthiaMagal
CameriniDev,Kaiqueporto32
NaPadrao,Suzano_info
MarcoVilla68,Danicarlasou
Marta_Haya,Karinegtoledo
sahesilva19,fonncllau10
jcsobralchagas,Luisoli21929060
E_PaKabah,QuerenMenezes
Marta_Haya,Wallcostajf
sahesilva19,alexandrarubima
Marcelo08444139,CinthiaMagal
Weslley02374166,_Janoninho
RaquelA43433137,DCDM115
profis_cleber,fonncllau10
Marcelo08444139,BrunoCalixto22
nanda_md2011,leojardels
robertarocha66,lidiacorrea20
RaquelA43433137,leojardels
ObservatorioXX,buarqueana13
ValriaM85164705,KaiolOof
bozo_bot,marcosaraujjoo
profis_cleber,JRBRONKO
ObservatorioXX,_Janoninho
CPavanJau,KaiolOof
rogersanctus,vanzuty
ObservatorioXX,_Janoninho
profis_cleber,sorayabborges
afonsor5hotmai1,_Janoninho
ObservatorioXX,_Janoninho
ObservatorioXX,_Janoninho
ObservatorioXX,fonncllau10
ObservatorioXX,sorayabborges
LidiaConta,LidiaConta
ObservatorioXX,sorayabborges
profis_cleber,_Janoninho
ObservatorioXX,JRBRONKO
MarceloASCWB,Suzano_info
ObservatorioXX,RonaldoJBBarros
nanda_md2011,linapaulaqueir1
MarceloASCWB,Karinegtoledo
eusamyra20,BrunoCalixto22
ObservatorioXX,IsabelA11063116
MarceloASCWB,Wallcostajf
ObservatorioXX,SessaAriel
Marcelo08444139,Luisoli21929060
cynthiafdlima69,DCDM115
ObservatorioXX,_Janoninho
LuciaSampaio28,Suzano_info
LuciaSampaio28,CinthiaMagal
Choe2022,Danicarlasou
Choe2022,Suzano_info
fd2011_1,vanete_araujo
ObservatorioXX,_Janoninho
Simonegomes1981,UdaJuris2022
MarceloASCWB,Wagner_R_O
MarceloASCWB,psy_fps
ObservatorioXX,daniduncan
ttangerino,Elainnefaria1
MarceloASCWB,Luisoli21929060
RoogirRa,Danicarlasou
LuciaSampaio28,FelipZimmer
Tatyana96116871,WeillerAlves34
ObservatorioXX,PalhaWill
MarceloASCWB,John_N4varro
ObservatorioXX,zurenemanique
MarceloASCWB,Edu210670
ObservatorioXX,TelesCombate
ElineiaCassotto,Luisoli21929060
MarceloASCWB,LeoewalF
Alexmoc,_Janoninho
Alexmoc,buarqueana13
Alexmoc,_Janoninho
Alexmoc,consallys
gonzaga_marconi,_Janoninho
Alexmoc,fonncllau10
Alexmoc,_Janoninho
Mariais71386220,FelipZimmer
Cizinhah,_Janoninho
Choe2022,BrunoCalixto22
justiceira_la,Wallcostajf
Artsuper8,Elainnefaria1
Alexmoc,SessaAriel
itaozin,CinthiaMagal
Marcelo08444139,joaovoltou
AmaralLeda,CinthiaMagal
Marcelo08444139,psy_fps
Choe2022,Kaiqueporto32
Artsuper8,CinthiaMagal
MarceloASCWB,mmichelemartins
Choe2022,Wallcostajf
CameriniDev,Edu210670
GeferGessi,Danicarlasou
Marcelo08444139,Amoresvidafeliz
MarceloASCWB,BaraoFarias
Choe2022,Luisoli21929060
CameriniDev,EstelaEuMesmaSC
AmaralLeda,vanete_araujo
Simonegomes1981,mmichelemartins
Rutemar83964754,Kaiqueporto32
luciafcbarbosa,Suzano_info
fernand03093975,KaiolOof
nadiaprado7,_Janoninho
Simonegomes1981,martinha17_
nadiaprado7,_Janoninho
Marcelo08444139,mmichelemartins
Laine35214984,CinthiaMagal
nadiaprado7,_Janoninho
fernand03093975,BrunoCalixto22
Laine35214984,UdaJuris2022
AmaralLeda,Suzano_info
MarceloASCWB,martinha17_
analucia3g,_Janoninho
nadiaprado7,_Janoninho
nadiaprado7,consallys
Laine35214984,Wallcostajf
ricardo10099129,buarqueana13
RomualdoOlarte,Douglasvet33
ricardo10099129,consallys
Laine35214984,Luisoli21929060
Raylane35861437,UdaJuris2022
fernand03093975,CinthiaMagal
Laine35214984,Suzano_info
ricardo10099129,_Janoninho
ricardo10099129,fonncllau10
analucia3g,jamlima77
ricardo10099129,_Janoninho
ricardo10099129,_Janoninho
Alexandremai5,buarqueana13
Marcelo08444139,OliverNoronha
ricardo10099129,_Janoninho
NiemetzAlex,Kaiqueporto32
Treta53199668,buarqueana13
ricardo10099129,JRBRONKO
Alexandremai5,consallys
analucia3g,Mu29964508Marta
ricardo10099129,RonaldoJBBarros
helenagsoo,MarloneBHMG
AlvesFilomeno,consallys
Alexandremai5,_Janoninho
lulumanaus,_Janoninho
AlvesFilomeno,_Janoninho
Alexandremai5,fonncllau10
fernandaitatiba,UdaJuris2022
gaivotabranca,Kaiqueporto32
CalM29541309,Suzano_info
NiemetzAlex,KaiolOof
Treta53199668,_Janoninho
flavio_1957,Kaiqueporto32
MarceloASCWB,ConcimoJoao
MarceloASCWB,nayarathaf
NiemetzAlex,BrunoCalixto22
JosAilt54411487,Elainnefaria1
Marcelo08444139,BaraoFarias
andre_brazolin,Danicarlasou
flavio_1957,UdaJuris2022
nadiaprado7,buarqueana13
nadiaprado7,fonncllau10
millasatscor,DCDM115
Treta53199668,sorayabborges
VoltaPicanha,SessaAriel
nadiaprado7,alexandrarubima
AlvesFilomeno,PalhaWill
ricardo10099129,euailze
VoltaPicanha,daniduncan
gaivotabranca,Karinegtoledo
nadiaprado7,RonaldoJBBarros
Marcelo08444139,E_PaKabah
fabio8304,buarqueana13
fabio8304,_Janoninho
Ademir1956Ap,_Janoninho
AlvesFilomeno,RonaldoJBBarros
nadiaprado7,JRBRONKO
fernandaitatiba,Kaiqueporto32
ricardo10099129,sorayabborges
fabio8304,fonncllau10
YasminnBarbosa1,CinthiaMagal
VoltaPicanha,MarcianoBrito13
Meginec,Danicarlasou
CalM29541309,UdaJuris2022
Sandra3ps,Danicarlasou
ricardo10099129,SessaAriel
libriana86,_Janoninho
Rutemar83964754,Wagner_R_O
ricardo10099129,sorayabborges
_Janoninho,_Janoninho
VoltaPicanha,zurenemanique
fabio8304,JRBRONKO
nadiaprado7,sorayabborges
AlvesFilomeno,_Janoninho
Sandra3ps,Kaiqueporto32
HelenaMeis,FelipZimmer
fabio8304,RonaldoJBBarros
fabio8304,sorayabborges
gaivotabranca,John_N4varro
AlvesFilomeno,daniduncan
Rutemar83964754,Elainnefaria1
fabio8304,SessaAriel
fabio8304,IsabelA11063116
AlvesFilomeno,_Janoninho
fabio8304,PalhaWill
valentinameyer,aro_marcia
YasminnBarbosa1,Wallcostajf
fernandaitatiba,DCDM115
Rutemar83964754,leojardels
CalM29541309,psy_fps
LilianeRosa_,_Janoninho
CalM29541309,Douglasvet33
LilianeRosa_,buarqueana13
Raylane35861437,cardoso_boni
maranataoravemJ,Danicarlasou
Luishug68080237,_Janoninho
fernandaitatiba,Wallcostajf
CalM29541309,CarolPollice
Teste57663389,Kaiqueporto32
Luishug68080237,_Janoninho
LilianeRosa_,RonaldoJBBarros
Luishug68080237,consallys
Teste57663389,Suzano_info
HelenaMeis,Elainnefaria1
helenrvitorino,CinthiaMagal
JrKuwahara,CinthiaMagal
Luishug68080237,euailze
Marcelo08444139,almacigana7
Luishug68080237,fonncllau10
Teste57663389,UdaJuris2022
AnasUniverso,consallys
Marcelo08444139,BayerNany
NiemetzAlex,Douglasvet33
AnasUniverso,buarqueana13
Luishug68080237,IsabelA11063116
Mslexotan1,CinthiaMagal
Mslexotan1,Kaiqueporto32
Luishug68080237,RonaldoJBBarros
gaivotabranca,aro_marcia
eddie_engels,consallys
JulianiMed,Suzano_info
AnasUniverso,daniduncan
Luishug68080237,sorayabborges
AnasUniverso,euailze
Sandra3ps,UdaJuris2022
eddie_engels,buarqueana13
NiemetzAlex,Wagner_R_O
RomualdoOlarte,mmichelemartins
eddie_engels,daniduncan
Luishug68080237,JRBRONKO
NiemetzAlex,mmichelemartins
ORadicalLivre,CinthiaMagal
Laine35214984,AlvesContabeis
JulianiMed,Elainnefaria1
Luishug68080237,SessaAriel
vendaslotes,joaoeliud
orgulho_2,Elainnefaria1
JulianiMed,Danicarlasou
Ohannaa98,Danicarlasou
millasatscor,UdaJuris2022
JulianiMed,Kaiqueporto32
pedelouro_elton,Suzano_info
helenrvitorino,Suzano_info
Luishug68080237,zurenemanique
orgulho_2,Wallcostajf
analucia3g,_Janoninho
JrHellcife,Danicarlasou
helenrvitorino,Wallcostajf
aimeudedinho,daniduncan
aimeudedinho,alexandrarubima
helenrvitorino,John_N4varro
aimeudedinho,consallys
CalM29541309,vanzuty
helenrvitorino,Suzano_info
fernandaitatiba,Karinegtoledo
aimeudedinho,buarqueana13
aimeudedinho,euailze
vanessinha_st,Danicarlasou
helenrvitorino,Karinegtoledo
aimeudedinho,_Janoninho
RosemarySantos,_Janoninho
RosemarySantos,_Janoninho
_ZeDoPovo_,_Janoninho
Ja_nemel,_Janoninho
pcemig78,martinha17_
RosemarySantos,consallys
Alexandremai5,_Janoninho
HelenaMeis,Luisoli21929060
RosemarySantos,_Janoninho
CalM29541309,MarloneBHMG
ElianeZandonadi,_Janoninho
gaivotabranca,FelipeFrazaorj
RosemarySantos,buarqueana13
Gabriella3516,consallys
JrHellcife,Suzano_info
carlosmouramelo,_Janoninho
RosemarySantos,fonncllau10
Rutemar83964754,marianelazaro
RosemarySantos,euailze
milemile2022,_Janoninho
Gabriella3516,buarqueana13
justiceira_la,CinthiaMagal
RosemarySantos,JRBRONKO
JulianiMed,John_N4varro
CalM29541309,joaoeliud
Gabriella3516,_Janoninho
RosemarySantos,_Janoninho
alinepsn_,Suzano_info
Ediene98043039,Danicarlasou
RosemarySantos,PalhaWill
RosemarySantos,RonaldoJBBarros
twitLacro,Danicarlasou
EveraldoGonalv9,BrunoCalixto22
Ohannaa98,Wallcostajf
SilviaCavalca11,Suzano_info
RosemarySantos,daniduncan
RosemarySantos,IsabelA11063116
SilviaCavalca11,CinthiaMagal
Rutemar83964754,cardoso_boni
twitLacro,CinthiaMagal
RosemarySantos,sorayabborges
RosemarySantos,SessaAriel
Ohannaa98,psy_fps
RosemarySantos,MDu2022
justiceira_la,Luisoli21929060
claqueteseca,_Janoninho
claqueteseca,consallys
justiceira_la,Kaiqueporto32
Gabriella3516,_Janoninho
claqueteseca,NoronhaNoronh4
gleyseviana_,_Janoninho
reyjbr2004,buarqueana13
claqueteseca,nadiaprado7
Gabriella3516,_Janoninho
Ohannaa98,DCDM115
Gabriella3516,JRBRONKO
gaivotabranca,leojardels
CalM29541309,mmichelemartins
DuasVezes1,_Janoninho
claqueteseca,MarcianoBrito13
Sandra3ps,Andrisa01
DuasVezes1,consallys
DuasVezes1,_Janoninho
Marangon23,DCDM115
DuasVezes1,_Janoninho
tomcatspeedi,Danicarlasou
DuasVezes1,euailze
ivone_emilia,_Janoninho
PRETORIBEIROPR1,FelipZimmer
DuasVezes1,buarqueana13
gaivotabranca,alexfmotta
joaodomenech,_Janoninho
ac13131313,_Janoninho
OsmarCordeiro5,Suzano_info
helenrvitorino,vanete_araujo
Ohannaa98,sabinanogueira1
PRETORIBEIROPR1,Wallcostajf
DuasVezes1,_Janoninho
DuasVezes1,sorayabborges
luciah1000,_Janoninho
SirMorello,Danicarlasou
AntoniadePaula7,_Janoninho
madelcostas,_Janoninho
Elizabe00128079,BrunoCalixto22
fernandaitatiba,BiaahD02
PRETORIBEIROPR1,aro_marcia
orgulho_2,BrunoCalixto22
DuasVezes1,_Janoninho
MarcioDoce88,Luisoli21929060
AFazend76488620,UdaJuris2022
mafair12,LuizAlb29422030
Ohannaa98,almacigana7
ORadicalLivre,ATROMBETA3
HelenaD92072738,Suzano_info
ivone_emilia,_Janoninho
